policy,channel,seed,start,horizon,b_probe,b_payload,metadata_noise,metadata_loss,rmse_mean,loss_mean,missed_violation_pct,metadata_seen_frac_mean,debt_changed_decision_pct,payload_success_pct,payload_fairness_jain,probe_fairness_jain,max_age,avg_age,max_payload_debt,window_id,policy_name
two_stage::vou,severe_burst,50311,3788,240,4,4,0.0,0.0,0.09202687563559006,5.3939808228730754e-05,0.0,0.1333333333333333,99.581589958159,70.7112970711297,0.8072641192785338,0.45132641975308624,14.0,4.733333333333333,0.11555090655509066,3,VoU
CAW-VoU,severe_burst,50311,3788,240,4,4,0.0,0.0,0.08087983629336559,0.000877920080892608,0.01394700139470014,0.1333333333333333,99.16317991631799,70.7112970711297,0.9942083850053293,0.9998862194214684,18.0,5.3,0.10509065550906556,3,CAW-VoU
two_stage::max_aoi,severe_burst,50328,5317,240,4,4,0.0,0.0,0.025054353918625042,0.03264053618026499,0.5439330543933054,0.1333333333333333,100.0,72.28033472803347,0.9810180116356443,0.9810180116356443,13.0,5.866666666666666,0.10613668061366806,4,MaxAoI
two_stage::aoii,severe_burst,50328,5317,240,4,4,0.0,0.0,0.19017282364214522,0.3912316498748256,6.513249651324965,0.1333333333333333,100.0,72.28033472803347,0.35725465362634945,0.3519063570906009,239.0,138.33333333333334,0.13333333333333333,4,AoII
two_stage::vou,severe_burst,50328,5317,240,4,4,0.0,0.0,0.10174924856339515,0.008490320745118548,0.1394700139470014,0.1333333333333333,100.0,72.28033472803347,0.5335294804436658,0.5166107060087047,238.0,70.1,0.13228730822873083,4,VoU
CAW-VoU,severe_burst,50328,5317,240,4,4,0.0,0.0,0.07315093150769235,0.007596160478730822,0.12552301255230125,0.1333333333333333,100.0,72.28033472803347,0.9213250267142473,0.9214364930534541,189.0,34.2,0.10718270571827057,4,CAW-VoU
two_stage::max_aoi,severe_burst,50345,5691,240,4,4,0.0,0.0,0.025600782965674296,0.025946201614714084,0.4323570432357043,0.1333333333333333,100.0,74.05857740585773,0.987825335062688,0.987825335062688,9.0,4.333333333333333,0.1092747559274756,5,MaxAoI
two_stage::aoii,severe_burst,50345,5691,240,4,4,0.0,0.0,0.05915513478377392,0.3146892918110181,5.244072524407253,0.1333333333333333,100.0,74.05857740585773,0.7297943017759034,0.7297943017759034,239.0,63.166666666666664,0.13333333333333333,5,AoII
two_stage::vou,severe_burst,50345,5691,240,4,4,0.0,0.0,0.07965968279638558,0.0377241640223152,0.6276150627615062,0.1333333333333333,100.0,74.05857740585773,0.5629487274250372,0.5343155137739112,238.0,69.53333333333333,0.13228730822873083,5,VoU
CAW-VoU,severe_burst,50345,5691,240,4,4,0.0,0.0,0.038705803503033216,0.007544911399232915,0.12552301255230125,0.1333333333333333,100.0,74.05857740585773,0.8929690858639143,0.8929690858639143,74.0,9.2,0.10404463040446305,5,CAW-VoU
two_stage::max_aoi,severe_burst,50362,5739,240,4,4,0.0,0.0,0.030675483642303724,0.01925497412412831,0.3207810320781032,0.1333333333333333,100.0,74.3723849372385,0.98463262227968,0.98463262227968,9.0,4.466666666666667,0.10822873082287308,6,MaxAoI
two_stage::aoii,severe_burst,50362,5739,240,4,4,0.0,0.0,0.06063481086637916,0.2561210298863319,4.2677824267782425,0.1333333333333333,100.0,74.3723849372385,0.7613849178579754,0.7613849178579754,239.0,54.63333333333333,0.13333333333333333,6,AoII
two_stage::vou,severe_burst,50362,5739,240,4,4,0.0,0.0,0.08256727528769112,0.049442318427475596,0.8228730822873083,0.1333333333333333,100.0,74.3723849372385,0.5663605378942799,0.5541827354532001,239.0,80.86666666666666,0.13333333333333333,6,VoU
CAW-VoU,severe_burst,50362,5739,240,4,4,0.0,0.0,0.04307269880239504,0.004199567316248256,0.0697350069735007,0.1333333333333333,100.0,74.3723849372385,0.8739108816217241,0.8739108816217241,129.0,14.1,0.10509065550906556,6,CAW-VoU
two_stage::max_aoi,severe_burst,50379,9067,240,4,4,0.0,0.0,0.21558869855485127,0.003750427768286068,0.05578800557880056,0.1333333333333333,91.2133891213389,74.47698744769873,0.9744908621755901,0.3345912502288119,73.0,8.166666666666666,0.12182705718270571,7,MaxAoI
two_stage::aoii,severe_burst,50379,9067,240,4,4,0.0,0.0,0.2518930081636771,0.005645830813265148,0.08368200836820083,0.1333333333333333,98.74476987447699,74.47698744769873,0.8573830162482637,0.42626816663868194,102.0,10.966666666666667,0.11659693165969316,7,AoII
two_stage::vou,severe_burst,50379,9067,240,4,4,0.0,0.0,0.20383906892873047,0.002788137231403998,0.04184100418410042,0.1333333333333333,97.90794979079497,74.47698744769873,0.8732595692636961,0.2990824006806727,19.0,5.233333333333333,0.1092747559274756,7,VoU
CAW-VoU,severe_burst,50379,9067,240,4,4,0.0,0.0,0.18943499020721447,0.002737810951069271,0.04184100418410042,0.1333333333333333,100.0,74.47698744769873,0.990265678498677,0.9998862194214684,10.0,5.066666666666666,0.10509065550906556,7,CAW-VoU
two_stage::max_aoi,severe_burst,50396,9573,240,4,4,0.0,0.0,0.13755618289048335,0.00012274107185611345,0.0,0.1333333333333333,87.86610878661088,75.52301255230127,0.9740546531952071,0.3611852765197321,200.0,16.6,0.12287308228730823,8,MaxAoI
two_stage::aoii,severe_burst,50396,9573,240,4,4,0.0,0.0,0.12832200691752765,0.00010086399940918964,0.0,0.1333333333333333,92.05020920502092,75.52301255230127,0.9633967912634653,0.3177890900998636,218.0,12.566666666666666,0.1301952580195258,8,AoII
two_stage::vou,severe_burst,50396,9573,240,4,4,0.0,0.0,0.1281517283785581,0.0001017630692991633,0.0,0.1333333333333333,91.2133891213389,75.52301255230127,0.9581247117037772,0.2596350082952659,15.0,5.166666666666667,0.10718270571827057,8,VoU
CAW-VoU,severe_burst,50396,9573,240,4,4,0.0,0.0,0.1280258604589065,0.0001002377136506276,0.0,0.1333333333333333,88.7029288702929,75.52301255230127,0.9951827170172906,0.9998862194214684,9.0,4.833333333333333,0.10509065550906556,8,CAW-VoU
two_stage::max_aoi,severe_burst,50413,11386,240,4,4,0.0,0.0,0.6364749813495549,0.02352538777754533,0.3486750348675035,0.1333333333333333,96.23430962343096,77.40585774058577,0.9838694397795278,0.5096278452496457,141.0,11.266666666666667,0.11555090655509066,9,MaxAoI
two_stage::aoii,severe_burst,50413,11386,240,4,4,0.0,0.0,0.6891830503378188,0.02109013086018131,0.2928870292887029,0.1333333333333333,99.16317991631799,77.40585774058577,0.8957522297363512,0.4668607799266454,32.0,7.966666666666667,0.11032078103207811,9,AoII
two_stage::vou,severe_burst,50413,11386,240,4,4,0.0,0.0,0.6928008475073998,0.017092554289400277,0.22315202231520223,0.1333333333333333,98.74476987447699,77.40585774058577,0.9513031892747096,0.41254141501683667,13.0,4.0,0.1092747559274756,9,VoU
CAW-VoU,severe_burst,50413,11386,240,4,4,0.0,0.0,0.5517442660860482,0.005368979791841005,0.05578800557880056,0.1333333333333333,97.07112970711297,77.40585774058577,0.9916840277777766,0.9998205885570495,11.0,3.8666666666666667,0.10509065550906556,9,CAW-VoU
two_stage::max_aoi,severe_burst,50430,11723,240,4,4,0.0,0.0,0.21472982480892974,0.002846416244769874,0.04184100418410042,0.1333333333333333,94.14225941422595,69.14225941422593,0.9877612779110725,0.5679443201590849,95.0,9.166666666666666,0.11241283124128312,10,MaxAoI
two_stage::aoii,severe_burst,50430,11723,240,4,4,0.0,0.0,0.26355402994631044,0.002948377693165969,0.04184100418410042,0.1333333333333333,100.0,69.14225941422593,0.3383820208078787,0.3061208357617047,128.0,15.766666666666667,0.12391910739191074,10,AoII
two_stage::vou,severe_burst,50430,11723,240,4,4,0.0,0.0,0.20497789312264159,0.002763785005927476,0.04184100418410042,0.1333333333333333,98.74476987447699,69.14225941422593,0.7874007064702329,0.3120662692152724,96.0,12.533333333333333,0.12287308228730823,10,VoU
CAW-VoU,severe_burst,50430,11723,240,4,4,0.0,0.0,0.18718931433250885,0.002712247718270572,0.04184100418410042,0.1333333333333333,99.16317991631799,69.14225941422593,0.9708264287231771,0.9900082325923989,23.0,8.7,0.1092747559274756,10,CAW-VoU
two_stage::max_aoi,severe_burst,50447,11886,240,4,4,0.0,0.0,0.195359781610425,0.011968260468270571,0.19525801952580196,0.1333333333333333,96.23430962343096,72.80334728033473,0.9857158264846081,0.49107829862230507,32.0,7.333333333333333,0.11450488145048815,11,MaxAoI
two_stage::aoii,severe_burst,50447,11886,240,4,4,0.0,0.0,0.2161727184216525,0.0027973536963040446,0.04184100418410042,0.1333333333333333,100.0,72.80334728033473,0.4276444219845212,0.30382500581762567,23.0,9.866666666666667,0.12078103207810321,11,AoII
two_stage::vou,severe_burst,50447,11886,240,4,4,0.0,0.0,0.19462587222280883,0.0027441894138772664,0.04184100418410042,0.1333333333333333,99.581589958159,72.80334728033473,0.8661586868342235,0.2672561920636312,21.0,7.833333333333333,0.12601115760111575,11,VoU
CAW-VoU,severe_burst,50447,11886,240,4,4,0.0,0.0,0.18157593351952747,0.0010277018218270571,0.01394700139470014,0.1333333333333333,100.0,72.80334728033473,0.9858434189804317,0.9998862194214684,16.0,6.933333333333334,0.10718270571827057,11,CAW-VoU
two_stage::max_aoi,severe_burst,50464,14989,240,4,4,0.0,0.0,0.2683400580885469,0.0007431226384239885,0.0,0.1333333333333333,97.48953974895397,69.14225941422593,0.9815237236076196,0.43586764719909177,152.0,14.066666666666666,0.11659693165969316,12,MaxAoI
two_stage::aoii,severe_burst,50464,14989,240,4,4,0.0,0.0,0.2062356128748088,0.0003459472611576015,0.0,0.1333333333333333,99.16317991631799,69.14225941422593,0.9656565656565645,0.5634276555082914,118.0,11.533333333333333,0.11659693165969316,12,AoII
two_stage::vou,severe_burst,50464,14989,240,4,4,0.0,0.0,0.22043346020435328,0.00040593634832635975,0.0,0.1333333333333333,99.16317991631799,69.14225941422593,0.8506319688762302,0.37748480042294463,57.0,21.8,0.11868898186889819,12,VoU
CAW-VoU,severe_burst,50464,14989,240,4,4,0.0,0.0,0.19395792105085488,0.0002852764965132498,0.0,0.1333333333333333,97.07112970711297,69.14225941422593,0.9926534158792212,0.9998862194214684,23.0,7.466666666666667,0.10613668061366806,12,CAW-VoU
two_stage::max_aoi,severe_burst,50481,16537,240,4,4,0.0,0.0,0.02242006336061335,0.038496444989539746,0.6415620641562064,0.1333333333333333,100.0,73.01255230125523,0.9866096681563994,0.9866096681563994,10.0,4.3,0.10718270571827057,13,MaxAoI
two_stage::aoii,severe_burst,50481,16537,240,4,4,0.0,0.0,0.10286421557204058,0.01765616061297071,0.2928870292887029,0.1333333333333333,100.0,73.01255230125523,0.32034209603925684,0.29825083542188796,206.0,76.4,0.13228730822873083,13,AoII
two_stage::vou,severe_burst,50481,16537,240,4,4,0.0,0.0,0.10511928747717177,0.017666361360529986,0.2928870292887029,0.1333333333333333,100.0,73.01255230125523,0.40030134202319617,0.39334452334839665,239.0,110.3,0.13228730822873083,13,VoU
CAW-VoU,severe_burst,50481,16537,240,4,4,0.0,0.0,0.042198335795236436,0.006708219043584379,0.11157601115760112,0.1333333333333333,100.0,73.01255230125523,0.6627623315784126,0.6627623315784126,149.0,22.8,0.11555090655509066,13,CAW-VoU
two_stage::max_aoi,severe_burst,50498,19393,240,4,4,0.0,0.0,0.033230872826074086,0.016743642944211993,0.2789400278940028,0.1333333333333333,100.0,69.14225941422593,0.9916194692185827,0.9916194692185827,8.0,4.4,0.10404463040446305,14,MaxAoI
two_stage::aoii,severe_burst,50498,19393,240,4,4,0.0,0.0,0.07145276870181227,0.0025458966820083684,0.04184100418410042,0.1333333333333333,100.0,69.14225941422593,0.3391127536102823,0.311084788454338,25.0,6.833333333333333,0.1291492329149233,14,AoII
two_stage::vou,severe_burst,50498,19393,240,4,4,0.0,0.0,0.11518263210723395,0.005120940983263598,0.08368200836820083,0.1333333333333333,100.0,69.14225941422593,0.45934280228782787,0.4193906020558001,69.0,19.233333333333334,0.1312412831241283,14,VoU
CAW-VoU,severe_burst,50498,19393,240,4,4,0.0,0.0,0.06492338998606169,0.004215437387726638,0.0697350069735007,0.1333333333333333,100.0,69.14225941422593,0.7342620711818103,0.7342620711818103,93.0,12.033333333333333,0.11345885634588564,14,CAW-VoU
two_stage::max_aoi,severe_burst,50515,20410,240,4,4,0.0,0.0,0.07428792860728055,3.708965132496513e-05,0.0,0.1333333333333333,89.9581589958159,68.82845188284519,0.9680499947039498,0.3359268407433544,131.0,13.3,0.12287308228730823,15,MaxAoI
two_stage::aoii,severe_burst,50515,20410,240,4,4,0.0,0.0,0.07018769510561633,3.183790376569039e-05,0.0,0.1333333333333333,93.72384937238493,68.82845188284519,0.9673737245437984,0.2244065332901185,206.0,16.166666666666668,0.12287308228730823,15,AoII
two_stage::vou,severe_burst,50515,20410,240,4,4,0.0,0.0,0.06938699017583337,3.247961924686189e-05,0.0,0.1333333333333333,97.07112970711297,68.82845188284519,0.9629704555991054,0.1932023524139301,105.0,9.966666666666667,0.11659693165969316,15,VoU
CAW-VoU,severe_burst,50515,20410,240,4,4,0.0,0.0,0.0650933253686727,2.6619779637377942e-05,0.0,0.1333333333333333,95.81589958158996,68.82845188284519,0.9931064458643011,0.9998862194214684,17.0,7.366666666666666,0.10509065550906556,15,CAW-VoU
two_stage::max_aoi,severe_burst,50532,20526,240,4,4,0.0,0.0,0.12701806101033616,0.00018724177963737847,0.0,0.1333333333333333,91.2133891213389,69.4560669456067,0.9583658403590443,0.3035585935683585,173.0,21.933333333333334,0.12287308228730823,16,MaxAoI
two_stage::aoii,severe_burst,50532,20526,240,4,4,0.0,0.0,0.11115573187977713,0.00015723136401673597,0.0,0.1333333333333333,88.7029288702929,69.4560669456067,0.9644948183794497,0.269936852800274,205.0,16.433333333333334,0.12601115760111575,16,AoII
two_stage::vou,severe_burst,50532,20526,240,4,4,0.0,0.0,0.10234200722264829,0.00014895391771269195,0.0,0.1333333333333333,89.1213389121339,69.4560669456067,0.9332353061307836,0.21096445669385847,201.0,10.033333333333333,0.12705718270571828,16,VoU
CAW-VoU,severe_burst,50532,20526,240,4,4,0.0,0.0,0.07762365123371157,3.836460808926082e-05,0.0,0.1333333333333333,95.81589958158996,69.4560669456067,0.9977902965194976,0.9998862194214684,8.0,3.5,0.10404463040446305,16,CAW-VoU
two_stage::max_aoi,severe_burst,50549,20643,240,4,4,0.0,0.0,0.14342718327708567,0.00025962947280334773,0.0,0.1333333333333333,83.26359832635983,71.86192468619247,0.9818400584418364,0.30741204170871167,118.0,14.066666666666666,0.11345885634588564,17,MaxAoI
two_stage::aoii,severe_burst,50549,20643,240,4,4,0.0,0.0,0.10558562912878,0.00011299775871687591,0.0,0.1333333333333333,78.24267782426779,71.86192468619247,0.980449708204599,0.3552549540934921,117.0,11.4,0.11450488145048815,17,AoII
two_stage::vou,severe_burst,50549,20643,240,4,4,0.0,0.0,0.09223960239575772,7.994804463040437e-05,0.0,0.1333333333333333,75.31380753138075,71.86192468619247,0.9342656198887789,0.24068935730914678,19.0,3.8333333333333335,0.11450488145048815,17,VoU
CAW-VoU,severe_burst,50549,20643,240,4,4,0.0,0.0,0.0670945925592032,2.7114700139470033e-05,0.0,0.1333333333333333,78.66108786610879,71.86192468619247,0.9949227084694089,0.9998862194214684,7.0,3.3333333333333335,0.10299860529986053,17,CAW-VoU
two_stage::max_aoi,severe_burst,50566,20948,240,4,4,0.0,0.0,0.044130207591467616,1.128168619246863e-05,0.0,0.1333333333333333,90.7949790794979,71.86192468619247,0.992330076004342,0.8188950414852241,14.0,6.1,0.10404463040446305,18,MaxAoI
two_stage::aoii,severe_burst,50566,20948,240,4,4,0.0,0.0,0.04530783294138522,1.2403765690376586e-05,0.0,0.1333333333333333,92.88702928870293,71.86192468619247,0.9721275554704608,0.7099634894740926,14.0,6.133333333333334,0.10613668061366806,18,AoII
two_stage::vou,severe_burst,50566,20948,240,4,4,0.0,0.0,0.04478125742206223,1.0959393305439359e-05,0.0,0.1333333333333333,93.72384937238493,71.86192468619247,0.8872992757422177,0.3514759948928576,17.0,7.2,0.1092747559274756,18,VoU
CAW-VoU,severe_burst,50566,20948,240,4,4,0.0,0.0,0.0454468228986403,1.182991213389121e-05,0.0,0.1333333333333333,94.14225941422595,71.86192468619247,0.9931064458643011,0.9998862194214684,15.0,7.0,0.10404463040446305,18,CAW-VoU
two_stage::max_aoi,severe_burst,50583,22602,240,4,4,0.0,0.0,0.2657723141413744,0.0007667786527196658,0.0,0.1333333333333333,89.5397489539749,70.92050209205021,0.974366191176783,0.32166800411088103,196.0,15.966666666666667,0.12287308228730823,19,MaxAoI
two_stage::aoii,severe_burst,50583,22602,240,4,4,0.0,0.0,0.21400953325426061,0.0005442106066945612,0.0,0.1333333333333333,89.9581589958159,70.92050209205021,0.9598756485390794,0.3382317456792864,164.0,18.9,0.12182705718270571,19,AoII
two_stage::vou,severe_burst,50583,22602,240,4,4,0.0,0.0,0.15331391388666968,0.00025465156485355645,0.0,0.1333333333333333,92.46861924686192,70.92050209205021,0.8848252492980918,0.277849525129814,187.0,11.466666666666667,0.12601115760111575,19,VoU
CAW-VoU,severe_burst,50583,22602,240,4,4,0.0,0.0,0.11804636946230847,7.785382426778249e-05,0.0,0.1333333333333333,93.30543933054393,70.92050209205021,0.9915549190643568,0.9998862194214684,12.0,5.7,0.10509065550906556,19,CAW-VoU
two_stage::max_aoi,severe_burst,50600,23142,240,4,4,0.0,0.0,0.07352072507438277,0.011758010164574615,0.19525801952580196,0.1333333333333333,97.48953974895397,75.0,0.9903944516688329,0.5376916469577697,42.0,6.6,0.11032078103207811,20,MaxAoI
two_stage::aoii,severe_burst,50600,23142,240,4,4,0.0,0.0,0.06524542025368024,0.008393601015341702,0.1394700139470014,0.1333333333333333,99.16317991631799,75.0,0.4989278305491863,0.3044687414632845,88.0,8.533333333333333,0.12496513249651325,20,AoII
two_stage::vou,severe_burst,50600,23142,240,4,4,0.0,0.0,0.06416339992123828,0.005044652288702929,0.08368200836820083,0.1333333333333333,100.0,75.0,0.7343328673126672,0.2612425037588396,27.0,6.5,0.1197350069735007,20,VoU
CAW-VoU,severe_burst,50600,23142,240,4,4,0.0,0.0,0.06335833228542874,0.0025362002859135287,0.04184100418410042,0.1333333333333333,99.581589958159,75.0,0.9624836766502369,0.9834882920110182,13.0,5.766666666666667,0.10822873082287308,20,CAW-VoU
two_stage::max_aoi,severe_burst,50617,23364,240,4,4,0.0,0.0,0.07720975284633556,5.869974476987465e-05,0.0,0.1333333333333333,97.07112970711297,64.9581589958159,0.9548214546898169,0.35281927748052394,222.0,18.2,0.1291492329149233,21,MaxAoI
two_stage::aoii,severe_burst,50617,23364,240,4,4,0.0,0.0,0.06939800745931131,3.301677405857752e-05,0.0,0.1333333333333333,98.32635983263599,64.9581589958159,0.9370819235107136,0.2491374986370079,151.0,13.666666666666666,0.1301952580195258,21,AoII
two_stage::vou,severe_burst,50617,23364,240,4,4,0.0,0.0,0.0671602963210452,3.1943352859135346e-05,0.0,0.1333333333333333,99.581589958159,64.9581589958159,0.8281106157805075,0.22960908451411913,239.0,14.3,0.13333333333333333,21,VoU
CAW-VoU,severe_burst,50617,23364,240,4,4,0.0,0.0,0.06530715507071481,2.7207984658298425e-05,0.0,0.1333333333333333,100.0,64.9581589958159,0.9900082325923989,0.9998862194214684,17.0,7.466666666666667,0.10822873082287308,21,CAW-VoU
two_stage::max_aoi,severe_burst,50634,24163,240,4,4,0.0,0.0,0.024408926569847746,3.4425062761506295e-06,0.0,0.1333333333333333,93.30543933054393,66.73640167364016,0.99220079902727,0.7512831894780101,13.0,6.033333333333333,0.10613668061366806,22,MaxAoI
two_stage::aoii,severe_burst,50634,24163,240,4,4,0.0,0.0,0.023306127425060663,3.0008912133891334e-06,0.0,0.1333333333333333,96.23430962343096,66.73640167364016,0.9759268751067818,0.6727438683272969,20.0,6.366666666666666,0.10718270571827057,22,AoII
two_stage::vou,severe_burst,50634,24163,240,4,4,0.0,0.0,0.024599478969529184,3.333845188284546e-06,0.0,0.1333333333333333,96.23430962343096,66.73640167364016,0.8297797388825328,0.35151655012730854,19.0,7.933333333333334,0.11136680613668061,22,VoU
CAW-VoU,severe_burst,50634,24163,240,4,4,0.0,0.0,0.024403992407643113,3.305278940027893e-06,0.0,0.1333333333333333,95.81589958158996,66.73640167364016,0.9926534158792212,0.9998862194214684,22.0,7.066666666666666,0.10404463040446305,22,CAW-VoU
two_stage::max_aoi,severe_burst,50651,25363,240,4,4,0.0,0.0,0.22859962318698226,0.021385289473500695,0.3486750348675035,0.1333333333333333,92.88702928870293,68.6192468619247,0.9658402553209466,0.3499337606346725,190.0,18.9,0.12287308228730823,23,MaxAoI
two_stage::aoii,severe_burst,50651,25363,240,4,4,0.0,0.0,0.25776780820733874,0.006244751862970712,0.09762900976290098,0.1333333333333333,99.16317991631799,68.6192468619247,0.4464060332532284,0.3989697652287032,45.0,20.766666666666666,0.12078103207810321,23,AoII
two_stage::vou,severe_burst,50651,25363,240,4,4,0.0,0.0,0.23246525173692634,0.010403948065550906,0.16736401673640167,0.1333333333333333,96.65271966527196,68.6192468619247,0.8322278679269329,0.2814119617696324,124.0,12.733333333333333,0.11032078103207811,23,VoU
CAW-VoU,severe_burst,50651,25363,240,4,4,0.0,0.0,0.17828708856568512,0.00687646054358438,0.11157601115760112,0.1333333333333333,98.74476987447699,68.6192468619247,0.9873131103621111,0.9998862194214684,36.0,9.366666666666667,0.10718270571827057,23,CAW-VoU
two_stage::max_aoi,severe_burst,50668,26663,240,4,4,0.0,0.0,0.1816068569787633,0.0005958698647140867,0.0,0.1333333333333333,84.10041841004184,72.90794979079497,0.9455749374055901,0.25654775940086,239.0,22.6,0.1312412831241283,24,MaxAoI
two_stage::aoii,severe_burst,50668,26663,240,4,4,0.0,0.0,0.23605138786379473,0.0012665767391910742,0.0,0.1333333333333333,84.10041841004184,72.90794979079497,0.9104217719602326,0.17996321719576402,239.0,30.233333333333334,0.1301952580195258,24,AoII
two_stage::vou,severe_burst,50668,26663,240,4,4,0.0,0.0,0.15048960424835414,0.0005166864797768486,0.0,0.1333333333333333,86.19246861924687,72.90794979079497,0.9580041928721164,0.18389350331594873,237.0,11.7,0.1312412831241283,24,VoU
CAW-VoU,severe_burst,50668,26663,240,4,4,0.0,0.0,0.09922208294587884,6.358197629009772e-05,0.0,0.1333333333333333,83.68200836820084,72.90794979079497,0.9947927551375816,0.9998862194214684,7.0,3.3666666666666667,0.10404463040446305,24,CAW-VoU
two_stage::max_aoi,severe_burst,50685,27322,240,4,4,0.0,0.0,0.032142631562888165,7.626299860530015e-06,0.0,0.1333333333333333,84.93723849372385,73.74476987447699,0.9901369388108846,0.7192495356816817,21.0,5.4,0.10718270571827057,25,MaxAoI
two_stage::aoii,severe_burst,50685,27322,240,4,4,0.0,0.0,0.034869550445322965,1.0028324965132434e-05,0.0,0.1333333333333333,82.84518828451883,73.74476987447699,0.9884663638330078,0.531945754030615,18.0,5.366666666666666,0.11136680613668061,25,AoII
two_stage::vou,severe_burst,50685,27322,240,4,4,0.0,0.0,0.025892059755600015,3.6428117154811633e-06,0.0,0.1333333333333333,88.7029288702929,73.74476987447699,0.9559600016735691,0.29854311212156837,12.0,4.9,0.10613668061366806,25,VoU
CAW-VoU,severe_burst,50685,27322,240,4,4,0.0,0.0,0.025840135391896994,3.6277768479776808e-06,0.0,0.1333333333333333,88.28451882845188,73.74476987447699,0.995638059132404,0.9998862194214684,10.0,4.8,0.10404463040446305,25,CAW-VoU
two_stage::max_aoi,severe_burst,50702,27547,240,4,4,0.0,0.0,0.033344157130449664,6.6044072524406895e-06,0.0,0.1333333333333333,89.5397489539749,74.7907949790795,0.993041701979702,0.8478857036830868,17.0,5.333333333333333,0.10613668061366806,26,MaxAoI
two_stage::aoii,severe_burst,50702,27547,240,4,4,0.0,0.0,0.033149990795032405,6.377175732217592e-06,0.0,0.1333333333333333,90.3765690376569,74.7907949790795,0.9871851371786552,0.6459002954105354,17.0,5.3,0.10509065550906556,26,AoII
